2396	14376	-32.55406	16.504341	11980	49.058401
5142	-856.999143	-24.76628	-38.696843	5998.999143	13.930563
-32704	-32704	-104.6584	-168.136262	0	63.477862
117806	58903	-32.2245	-1.930897	58903	30.293603
-75684	-57120	213.01126	171.982622	18564	41.028638
14959.999065	-14025	167.54122	222.136875	28984.999065	54.595655
-16980	10188	182.85498	177.650346	27168	5.204634
-15848	32356.334654	-33.32252	-3.972263	48204.334654	29.350257
-18214.667146	1438	189.16128	204.163081	19652.667146	15.001801
47701.335168	-11925.332416	-70.25942	-83.895464	59626.667584	13.636044
-21102.665913	38437	169.16592	158.752902	59539.665913	10.413018
-25988.332495	11736.667505	305.228	303.908409	37725	1.319591
39897	0	-78.24432	-76.684476	39897	1.559844
-72950	-93376	-386.155	-345.91497	20426	40.24003
130080	135500	82.06814	-49.432453	5420	131.500593
64715	78260	78.4784	121.052005	13545	42.573605
-33201	10415.999349	53.58892	153.798489	43616.999349	100.209569
-151146	-162342	70.79996	114.596945	11196	43.796985
-103024	-96448	-83.18464	-37.149967	6576	46.034673
-65730	-7825	-19.67504	-26.104576	57905	6.429536
31230	34700	-8.1543	-14.537216	3470	6.382916
-36599.665426	10545.667287	-148.98268	-137.564126	47145.332713	11.418554
-65601	-58509	60.08772	55.36198	7092	4.72574
-54501	-27987	-185.6239	-187.987686	26514	2.363786
-64287	-109526	-41.48144	-47.990411	45239	6.508971
35460	-2626.66601	249.33524	255.454563	38086.66601	6.11932300000001
1400.667367	-34316.334734	375.31648	322.449936	35717.002101	52.866544
-496.332837	21342.332837	-186.48014	-194.534727	21838.665674	8.054587
65072	125496	-188.63614	-73.87524	60424	114.7609
-1847	615.666051	-206.53094	-289.238075	2462.666051	82.707135
4234	14819	18.56932	40.857593	10585	22.288273
85344	50292	-92.79886	-212.801632	35052	120.002772
-20802.667384	8608	-71.27582	48.286312	29410.667384	119.562132
-11915	-42894	-61.9157	-104.298807	30979	42.383107
59616	119232	249.91736	299.480827	59616	49.563467
84018	46431	122.94744	114.442048	37587	8.505392
-7560	8999.99964	295.04398	188.38275	16559.99964	106.66123
-6352.333707	19057	107.20402	87.342945	25409.333707	19.861075
-6468	-5390	-183.5757	-51.135181	1078	132.440519
-58373	-22596	101.10562	1.84075	35777	99.26487
31420	1571	122.20208	162.31386	29849	40.11178
-41652	-39338	49.15218	-21.065347	2314	70.217527
16849.999326	-14154	174.78692	251.618555	31003.999326	76.831635
92597	104545	-7.94178	-73.422784	11948	65.481004
-14877.999654	3459.999654	-0.95326	-21.048678	18337.999308	20.095418
-62176	-98624	-400.79732	-309.154645	36448	91.642675
-47530	-69258	34.73778	65.40684	21728	30.66906
